"type","title","template"
"小红书标题公式","人群反差","【人群】别再这样做【事情】了"
"小红书标题公式","细节清单","【行业】新手最容易忽略的 5 个细节"
"小红书标题公式","痛点解决","我用【工具/方法】解决了【具体痛点】"
"小红书标题公式","低粉成交","【行业】账号低粉也能成交的内容结构"
"短视频开头公式","痛点切入","如果你还在为【痛点】发愁，先看完这条"
"短视频开头公式","误区提醒","很多【人群】都做错了第一步"
"短视频开头公式","表达问题","你以为是流量问题，其实是表达问题"
"商品标题结构","标题结构","【核心产品】+【目标人群】+【使用场景】+【关键卖点】+【结果/体验】"
"AI 提示词","小红书标题","你是一个中文增长文案编辑。我的行业是：【填写行业】。目标用户是：【填写用户】。产品/服务/主题是：【填写主题】。用户痛点是：【填写痛点】。请生成 20 个具体、自然、有点击欲望但不夸张的小红书标题。"
"30 天内容方向","常见误区","把用户最容易做错的一步讲清楚，并给一个低门槛修正方法。"
"30 天内容方向","用户痛点","把用户正在经历的具体问题写出来，再给出一个可执行建议。"
"30 天内容方向","案例拆解","用一个真实或模拟案例解释标题、文案或内容结构为什么有效。"
"转化入口文案","样品包引导","我整理了一份免费标题模板样品包，适合先下载试用。"
"转化入口文案","付费包引导","如果你想要完整行业版本，可以查看 1000 条标题/文案/提示词素材库。"
